rd,prime,buffer_from,buffer_to,packet_id,injection_rd
20,0,8,9,16,9
20,0,7,8,19,12
20,0,6,7,18,12
20,0,5,6,20,12
20,0,4,5,22,14
20,0,3,4,21,14
20,0,2,3,23,15
20,0,1,2,24,16
20,0,0,1,25,18
20,0,0,-1,26,18
20,0,-1,-2,27,19
20,1,8,9,19,12
20,1,7,8,18,12
20,1,6,7,20,12
20,1,5,6,22,14
20,1,4,5,21,14
20,1,3,4,23,15
20,1,2,3,24,16
20,1,1,2,25,18
20,1,0,1,26,18
20,1,0,-1,27,19
21,0,8,9,19,12
21,0,7,8,18,12
21,0,6,7,20,12
21,0,5,6,22,14
21,0,4,5,21,14
21,0,3,4,23,15
21,0,2,3,24,16
21,0,1,2,25,18
21,0,0,1,26,18
21,0,0,-1,27,19
21,0,-1,-2,28,21
21,1,8,9,18,12
21,1,7,8,20,12
21,1,6,7,22,14
21,1,5,6,21,14
21,1,4,5,23,15
21,1,3,4,24,16
21,1,2,3,26,18
21,1,1,2,25,18
21,1,0,1,27,19
21,1,0,-1,28,21
22,0,8,9,18,12
22,0,7,8,20,12
22,0,6,7,22,14
22,0,5,6,21,14
22,0,4,5,23,15
22,0,3,4,24,16
22,0,2,3,26,18
22,0,1,2,25,18
22,0,0,1,27,19
22,0,0,-1,28,21
22,1,8,9,20,12
22,1,7,8,22,14
22,1,6,7,21,14
22,1,5,6,23,15
22,1,4,5,24,16
22,1,3,4,25,18
22,1,2,3,26,18
22,1,1,2,27,19
22,1,0,1,28,21
23,0,8,9,20,12
23,0,7,8,22,14
23,0,6,7,21,14
23,0,5,6,23,15
23,0,4,5,24,16
23,0,3,4,25,18
23,0,2,3,26,18
23,0,1,2,27,19
23,0,0,1,28,21
23,1,8,9,22,14
23,1,7,8,21,14
23,1,6,7,23,15
23,1,5,6,24,16
23,1,4,5,25,18
23,1,3,4,26,18
23,1,2,3,27,19
23,1,1,2,28,21
23,1,0,1,-1,-1
24,0,8,9,22,14
24,0,7,8,21,14
24,0,6,7,23,15
24,0,5,6,24,16
24,0,4,5,25,18
24,0,3,4,26,18
24,0,2,3,27,19
24,0,1,2,28,21
24,0,0,1,29,24
24,0,0,-1,30,24
24,0,-1,-2,31,24
24,1,8,9,21,14
24,1,7,8,23,15
24,1,6,7,24,16
24,1,5,6,25,18
24,1,4,5,26,18
24,1,3,4,27,19
24,1,2,3,28,21
24,1,1,2,29,24
24,1,0,1,30,24
24,1,0,-1,31,24
25,0,8,9,21,14
25,0,7,8,23,15
25,0,6,7,24,16
25,0,5,6,25,18
25,0,4,5,26,18
25,0,3,4,27,19
25,0,2,3,28,21
25,0,1,2,29,24
25,0,0,1,30,24
25,0,0,-1,31,24
25,1,8,9,23,15
25,1,7,8,24,16
25,1,6,7,25,18
25,1,5,6,26,18
25,1,4,5,27,19
25,1,3,4,28,21
25,1,2,3,29,24
25,1,1,2,30,24
25,1,0,1,31,24
26,0,8,9,23,15
26,0,7,8,24,16
26,0,6,7,25,18
26,0,5,6,26,18
26,0,4,5,27,19
26,0,3,4,28,21
26,0,2,3,29,24
26,0,1,2,30,24
26,0,0,1,31,24
26,1,8,9,24,16
26,1,7,8,25,18
26,1,6,7,26,18
26,1,5,6,27,19
26,1,4,5,28,21
26,1,3,4,29,24
26,1,2,3,30,24
26,1,1,2,31,24
26,1,0,1,-1,-1
27,0,8,9,24,16
27,0,7,8,25,18
27,0,6,7,26,18
27,0,5,6,27,19
27,0,4,5,28,21
27,0,3,4,29,24
27,0,2,3,30,24
27,0,1,2,31,24
27,0,0,1,-1,-1
27,1,8,9,25,18
27,1,7,8,26,18
27,1,6,7,27,19
27,1,5,6,28,21
27,1,4,5,30,24
27,1,3,4,29,24
27,1,2,3,31,24
27,1,1,2,-1,-1
27,1,0,1,-1,-1
28,0,8,9,25,18
28,0,7,8,26,18
28,0,6,7,27,19
28,0,5,6,28,21
28,0,4,5,30,24
28,0,3,4,29,24
28,0,2,3,31,24
28,0,1,2,32,28
28,0,0,1,33,28
28,1,8,9,26,18
28,1,7,8,27,19
28,1,6,7,28,21
28,1,5,6,29,24
28,1,4,5,30,24
28,1,3,4,31,24
28,1,2,3,32,28
28,1,1,2,33,28
28,1,0,1,-1,-1
29,0,8,9,26,18
29,0,7,8,27,19
29,0,6,7,28,21
29,0,5,6,29,24
29,0,4,5,30,24
29,0,3,4,31,24
29,0,2,3,32,28
29,0,1,2,33,28
29,0,0,1,37,29
29,0,0,-1,34,29
29,0,-1,-2,35,29
29,0,-2,-3,36,29
29,1,8,9,27,19
29,1,7,8,28,21
29,1,6,7,29,24
29,1,5,6,30,24
29,1,4,5,31,24
